source_case,similar_case,similarity_score,method,citation_link,source_case_topic
61973CJ0039,61969CJ0002,0.37263884499987376,tfidf,0,public health
61973CJ0039,61978CJ0132,0.3676205455516446,tfidf,0,public health
61973CJ0039,61975CJ0021,0.3636469555857455,tfidf,0,public health
61973CJ0039,61982CJ0155,0.34002895286200996,tfidf,0,public health
61973CJ0039,61972CJ0077,0.3365726337553643,tfidf,0,public health
61973CJ0039,61974CJ0063,0.3343813726299852,tfidf,0,public health
61973CJ0039,61975CJ0087,0.3268392050922264,tfidf,0,public health
61973CJ0039,61982CJ0314,0.31088751276861065,tfidf,1,public health
61973CJ0039,61965CJ0052,0.30678448438925837,tfidf,0,public health
61973CJ0039,61996CJ0028,0.301913157917333,tfidf,0,public health
61973CJ0039,61979CJ0061,0.2988203516263331,tfidf,0,public health
61973CJ0039,61974CJ0094,0.29373423949938926,tfidf,0,public health
61973CJ0039,61990CJ0078,0.28559776191644287,tfidf,0,public health
61973CJ0039,61982CJ0132,0.2831441742255723,tfidf,0,public health
61973CJ0039,61995CJ0347,0.2820902958640335,tfidf,0,public health
61973CJ0039,61991CJ0149,0.28202818548926956,tfidf,0,public health
61973CJ0039,61993CJ0485,0.280788685149996,tfidf,0,public health
61973CJ0039,61991CJ0266,0.27941752722803936,tfidf,0,public health
62005CJ0326,62003CO0365,0.8131751468343379,tfidf,0,public health
62005CJ0326,62016CJ0325,0.48481217524084963,tfidf,0,public health
62005CJ0326,62006CJ0361,0.33576271102000455,tfidf,0,public health
62005CJ0326,62016CJ0293,0.3144270008526681,tfidf,0,public health
62005CJ0326,62016CJ0244,0.2987132912605048,tfidf,1,public health
62005CJ0326,62009CO0069,0.27355182171034387,tfidf,0,public health
62005CJ0326,62005CJ0138,0.23532806392733013,tfidf,0,public health
62005CJ0326,62011CO0584,0.23516675249980076,tfidf,0,public health
62005CJ0326,61998CJ0306,0.23354013580782593,tfidf,0,public health
62005CJ0326,62009CJ0229,0.22850152132538168,tfidf,0,public health
62005CJ0326,62004CJ0316,0.22823237984402514,tfidf,0,public health
62005CJ0326,62007CO0277,0.21744520518227356,tfidf,0,public health
62005CJ0326,62007CO0236,0.20235789654679226,tfidf,0,public health
62005CJ0326,62012CJ0210,0.19651235215093416,tfidf,0,public health
62005CJ0326,61996CJ0137,0.19258078955811242,tfidf,0,public health
62005CJ0326,62009CJ0077,0.19194951884545233,tfidf,1,public health
62005CJ0326,62005CJ0174,0.1858779382065819,tfidf,0,public health
62005CJ0326,62008CO0517,0.1835011957950836,tfidf,1,public health
62005CJ0326,62001CJ0296,0.18274033634385947,tfidf,0,public health
62005CJ0326,62013CJ0108,0.17435660709296824,tfidf,0,public health
62013CJ0528,62009CJ0421,0.7749914205134567,tfidf,1,public health
62013CJ0528,62012CJ0512,0.5487568633791226,tfidf,0,public health
62013CJ0528,62007CJ0060,0.5301438740918041,tfidf,0,public health
62013CJ0528,62015CJ0296,0.5197248124191758,tfidf,0,public health
62013CJ0528,62015CJ0412,0.35408584432134305,tfidf,0,public health
62013CJ0528,62009CJ0086,0.35377557965120043,tfidf,0,public health
62013CJ0528,62011CJ0291,0.27703611856598176,tfidf,0,public health
62013CJ0528,61991CJ0191,0.21023383221012235,tfidf,0,public health
62013CJ0528,62009CJ0008,0.20381306075181288,tfidf,0,public health
62013CJ0528,62009CJ0237,0.2018654274905321,tfidf,0,public health
62013CJ0528,62016CJ0473,0.19669117253693746,tfidf,0,public health
62013CJ0528,62009CJ0009,0.19575411456508315,tfidf,0,public health
62013CJ0528,62009CJ0012,0.19460752563954287,tfidf,0,public health
62013CJ0528,62001CO0181,0.1719963625927464,tfidf,0,public health
62013CJ0528,62013CJ0148,0.1661324590789439,tfidf,0,public health
62013CJ0528,61993CJ0356,0.15505327666697616,tfidf,0,public health
62013CJ0528,61992CJ0404,0.14920078179522392,tfidf,0,public health
62013CJ0528,62013CJ0480,0.1488980114604229,tfidf,0,public health
62013CJ0528,62008CJ0262,0.1445021724753827,tfidf,0,public health
62013CJ0528,61987CJ0131,0.13086364247606413,tfidf,0,public health
62006CO0459,61998CO0363,0.44441102225334134,tfidf,0,public health
62006CO0459,61998CO0364,0.4365278415775115,tfidf,1,public health
62006CO0459,61998CO0159,0.42556106459231274,tfidf,0,public health
62006CO0459,61999CO0329,0.41893983787002936,tfidf,0,public health
62006CO0459,61998CO0043,0.40801918175732504,tfidf,1,public health
62006CO0459,61997CO0248,0.4005304526171007,tfidf,0,public health
62006CO0459,62011CO0656,0.39776573877248145,tfidf,0,public health
62006CO0459,62009CO0113,0.3914129290510088,tfidf,1,public health
62006CO0459,61997CO0089,0.3825612333650689,tfidf,0,public health
62006CO0459,62010CO0446,0.3803858416370119,tfidf,0,public health
62006CO0459,61997CO0110,0.3757358357825236,tfidf,0,public health
62006CO0459,62012CO0168,0.36223081793501793,tfidf,0,public health
62006CO0459,62010CO0404,0.3480001475095819,tfidf,0,public health
62006CO0459,62001CO0480,0.32738584843193447,tfidf,0,public health
62006CO0459,61999CO0107,0.3248380698865574,tfidf,0,public health
62006CO0459,61996CO0393,0.3210598954581496,tfidf,0,public health
62006CO0459,61999CO0065,0.3206614935744187,tfidf,0,public health
62006CO0459,61999CO0364,0.31239434193218163,tfidf,0,public health
62006CO0459,61999CO0335,0.31129540889918644,tfidf,0,public health
62006CO0459,62002CO0399,0.3099571147596973,tfidf,0,public health
62015CJ0112,62009CJ0523,0.5128834244015666,tfidf,0,public health
62015CJ0112,62016CJ0519,0.45668885911613244,tfidf,0,public health
62015CJ0112,62013CJ0402,0.4443897963746477,tfidf,0,public health
62015CJ0112,62007CJ0270,0.41862963760227834,tfidf,1,public health
